Cohort,Library,Term,P-value,Adjusted P-value (FDR),Combined Score,Overlapping Genes
KIRC_Female_Top300,GO_Biological_Process_2023,Leukocyte Adhesion To Vascular Endothelial Cell (GO:0061756),7.186842512105311e-06,0.0129075691517411,282.2595513818365,"CX3CR1, VCAM1, ITGB7, SLC39A8, JAM2"
KIRC_Female_Top300,GO_Biological_Process_2023,Regulation Of Cell-Matrix Adhesion (GO:0001952),5.268462605503695e-05,0.0454474366744579,79.70337104851025,"BST1, JAG1, CDK6, RASA1, FYN, CD36, EFNA5"
KIRC_Female_Top300,GO_Biological_Process_2023,Positive Regulation Of Cholesterol Transport (GO:0032376),9.061527293213452e-05,0.0454474366744579,119.389216595022,"RXRA, ABCB4, ABCA3, APOA1, TREM2"
KIRC_Female_Top300,GO_Biological_Process_2023,Leukocyte Tethering Or Rolling (GO:0050901),0.0001012192353551,0.0454474366744579,188.2384527268308,"CX3CR1, VCAM1, ITGB7, JAM2"
KIRC_Female_Top500,KEGG_2021_Human,ABC transporters,0.0001166160347423,0.0313697133456998,65.85993825472887,"ABCC2, ABCB10, ABCB4, ABCA3, ABCA4, ABCC6, TAP1"
