Name,ConsensusRank,Score
HS3ST1,1,3.289e-93
RNF183,2,2.836e-65
LINC00973,3,4.140e-12
HBB,4,1.642e-08
CDKN1A,5,2.889e-07
HMGA2,6,4.735e-06
HS3ST3A1,7,9.732e-05
ADAM8,8,6.196e-03
