Name,ConsensusRank,Score
SNTG2-AS1,1,5.429e-32
SSTR1,2,2.342e-28
ACP5,3,7.015e-21
RNY4P34,4,1.009e-20
TNFSF15,5,7.598e-07
NUDT2,6,5.611e-03
ACTN2,7,6.186e-03
CTTNBP2,8,1.761e-02
