Cohort,Library,Term,P-value,Adjusted P-value (FDR),Combined Score,Overlapping Genes
KIRC_Female_Top500,GO_Biological_Process_2023,Negative Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900025),0.0028874338160908373,0.3394793713074326,76.43958580710353,"KANK1, SPRY4, EFNA5"
KIRC_Female_Top500,GO_Biological_Process_2023,Osteoclast Differentiation (GO:0030316),0.0032171757921806987,0.3394793713074326,42.93198071289272,"IGSF23, TREM2, GAB2, MAPK14"
KIRC_Female_Top500,GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),0.0036743564543548837,0.3394793713074326,12.98289356864386,"SPAG9, CCL11, SEMA3D, FLT4, RDX, PDGFB, SYNE2, ZNF703, PLCG2, NUMB, NSMF, SOX9, EPHB2, DOCK1, TRIM32"
KIRC_Female_Top500,GO_Biological_Process_2023,acyl-CoA Biosynthetic Process (GO:0071616),0.003684485563252584,0.3394793713074326,65.92432931190774,"ACLY, PPT1, ACSS1"
KIRC_Female_Top500,GO_Biological_Process_2023,Membrane Depolarization During Action Potential (GO:0086010),0.003684485563252584,0.3394793713074326,65.92432931190774,"KCNH2, CACNA1D, SCN4B"
KIRC_Female_Top500,GO_Biological_Process_2023,Neuron Projection Guidance (GO:0097485),0.003984290194655493,0.3394793713074326,17.072314370246723,"EFNB2, SEMA3D, MYCBP2, FYN, ARHGEF40, EPHB2, EFNA5, NEO1, ARHGAP35"
KIRC_Female_Top500,GO_Biological_Process_2023,Response To Amyloid-Beta (GO:1904645),0.004211385981886807,0.3394793713074326,28.297828049847386,"VCAM1, MMP13, TREM2, FYN, CD36"
KIRC_Female_Top500,GO_Biological_Process_2023,Regulation Of Actin Polymerization Or Depolymerization (GO:0008064),0.004291120421567734,0.3394793713074326,37.227618063473464,"RASA1, ARHGAP28, ARHGAP35, MEGF9"
KIRC_Female_Top500,KEGG_2021_Human,ABC transporters,0.00011661603474237866,0.03136971334569986,65.85993825472887,"ABCC2, ABCB10, ABCB4, ABCA3, ABCA4, ABCC6, TAP1"
KIRC_Female_Top500,KEGG_2021_Human,Axon guidance,0.0006862562242522257,0.09230146216192436,22.241671189756815,"SEMA3D, NFATC3, EFNA5, NTN1, NFATC4, EFNB2, ABLIM3, RASA1, PLCG2, FYN, EPHB2, NEO1, EPHB4"
KIRC_Female_Top500,KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,0.0014045381482545504,0.12594025396015804,20.579415993095772,"ADCY9, PLCB4, PPP2R2C, TPM1, ATP2A3, CACNA1D, PPP2R5D, ADRA1B, MAPK14, SCN4B, CACNG4"
KIRC_Female_Top500,KEGG_2021_Human,Lipid and atherosclerosis,0.003061950035136242,0.20591613986291227,14.762387943808474,"VCAM1, NFATC3, APOA1, VLDLR, MAPK14, NFKB1, CASP7, CYP2B6, PLCB4, RXRA, NLRP3, CD36, LBP"
KIRC_Female_Top500,KEGG_2021_Human,Osteoclast differentiation,0.0046622874780446084,0.2508310663187999,16.16256398820299,"PLCG2, ACP5, TREM2, FYN, GAB2, MAPK14, NFKB1, LILRA4, IFNAR1"
KIRC_Female_Top500,KEGG_2021_Human,Cholesterol metabolism,0.008040893507605765,0.2742318875025554,21.062996446887233,"CYP27A1, LIPG, APOA1, CD36, LIPA"
KIRC_Female_Top500,KEGG_2021_Human,PI3K-Akt signaling pathway,0.008138573622971764,0.2742318875025554,9.629049408699775,"PRKAA1, TNXB, LAMB2, FLT4, PDGFB, PPP2R5D, EFNA5, FGF2, NFKB1, RXRA, CDK6, ERBB3, PPP2R2C, PKN2, ITGB7, PCK2, IFNAR1"
KIRC_Female_Top500,KEGG_2021_Human,Inositol phosphate metabolism,0.009827521468756376,0.2742318875025554,16.284435429377975,"INPP4A, INPP4B, PLCB4, PLCG2, PIP4K2A, PIK3C2B"
KIRC_Female_Top500,KEGG_2021_Human,Sphingolipid signaling pathway,0.010100525822695652,0.2742318875025554,13.05144779522384,"PLCB4, PPP2R2C, PPP2R5D, FYN, GAB2, SGMS2, MAPK14, NFKB1"
KIRC_Female_Top500,KEGG_2021_Human,Phosphatidylinositol signaling system,0.010898290499560565,0.2742318875025554,13.83855804397892,"INPP4A, INPP4B, PLCB4, PLCG2, PIP4K2A, IP6K3, PIK3C2B"
KIRC_Female_Top500,KEGG_2021_Human,Pertussis,0.011860951473935488,0.2742318875025554,14.950099394233906,"CASP7, C1S, IRF8, NLRP3, MAPK14, NFKB1"
KIRC_Female_Top500,KEGG_2021_Human,Cell adhesion molecules,0.012233392751043364,0.2742318875025554,11.24295519599948,"IGSF11, CD2, VCAM1, HLA-C, ITGB7, CLDN16, TIGIT, NEO1, JAM2"
KIRC_Female_Top500,KEGG_2021_Human,Lysosome,0.015196841126295138,0.2824451951248895,10.994257438676794,"GALNS, CD164, CTSO, PSAP, M6PR, PPT1, ACP5, LIPA"
KIRC_Female_Top500,KEGG_2021_Human,NF-kappa B signaling pathway,0.015554442504352596,0.2824451951248895,11.824896434017019,"VCAM1, DDX58, PLCG2, ERC1, LBP, NFKB1, EDA2R"
KIRC_Female_Top500,KEGG_2021_Human,MAPK signaling pathway,0.016503366545793697,0.2824451951248895,8.11548856226864,"MAP3K3, DUSP2, FLT4, PDGFB, NFATC3, CACNA1D, EFNA5, MAPK14, FGF2, NFKB1, ERBB3, RASA1, FLNB, CACNG4"
KIRC_Female_Top500,KEGG_2021_Human,Histidine metabolism,0.01679971420817187,0.2824451951248895,25.290806917072743,"MAOB, ASPA, ALDH9A1"
KIRC_Female_Top500,KEGG_2021_Human,Salmonella infection,0.02327464578927609,0.3537941376766367,7.515709230312369,"DYNC2LI1, KLC4, DYNC1LI2, CASP7, VPS41, M6PR, NLRP3, FLNB, WASL, MAPK14, NFKB1, PIK3C2B"
KIRC_Female_Top500,KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,0.023673957167953386,0.3537941376766367,8.064109004856185,"CDK6, PDGFB, PLCG2, NFATC3, HLA-C, MAPK14, FGF2, NFKB1, NFATC4, IFNAR1"
KIRC_Female_Top500,KEGG_2021_Human,Hypertrophic cardiomyopathy,0.025316242186923396,0.3584246920148628,10.320881664768184,"PRKAA1, TPM1, ATP2A3, ITGB7, CACNA1D, CACNG4"
KIRC_Female_Top500,KEGG_2021_Human,Adipocytokine signaling pathway,0.029098928808491353,0.3913805924742087,10.850091526990253,"PRKAA1, RXRA, CD36, NFKB1, PCK2"
KIRC_Female_Top500,KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,0.03071766872573008,0.3934787089153044,10.519113749126905,"ATP6V1B2, PLCG2, MAPK14, JAM2, NFKB1"
KIRC_Female_Top500,KEGG_2021_Human,Dilated cardiomyopathy,0.033337427807949106,0.4076258218335595,8.908887599448468,"ADCY9, TPM1, ATP2A3, ITGB7, CACNA1D, CACNG4"
KIRC_Female_Top500,KEGG_2021_Human,PPAR signaling pathway,0.037751290429200716,0.43305888324955966,9.320780242770784,"CYP27A1, RXRA, APOA1, CD36, PCK2"
KIRC_Female_Top500,KEGG_2021_Human,NOD-like receptor signaling pathway,0.03863722378434733,0.43305888324955966,6.7015539842816505,"PLCB4, NLRP6, NLRP7, NEK7, NLRP3, PKN2, MAPK14, NFKB1, IFNAR1"
KIRC_Female_Top500,KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,0.0436226954523553,0.469380203067343,8.53702986305756,"ACTN2, ATP2A3, ITGB7, CACNA1D, CACNG4"
